Date,Department,Revenue,Expenses,Assets,Liabilities,Cash_Inflow,Cash_Outflow,Profit,CashFlow
2025-01-31,Marketing,180608,53483,423165,233767,117373,113426,127125,3947
2025-02-28,Finance,134478,78555,735822,224375,163684,137845,55923,25839
2025-03-31,Operations,172537,47159,687879,279262,50965,42299,125378,8666
2025-04-30,Finance,199503,140510,764685,236330,64538,63585,58993,953
2025-05-31,Finance,180523,136530,553531,401648,148066,129225,43993,18841
2025-06-30,HR,52747,110077,463160,264231,153252,84044,-57330,69208
2025-07-31,Operations,173855,65920,779879,113986,179182,62557,107935,116625
2025-08-31,Operations,115725,122067,420884,161858,138806,69080,-6342,69726
2025-09-30,Operations,179981,97121,223247,229312,177982,129556,82860,48426
2025-10-31,Finance,134654,99479,224300,112666,150989,22693,35175,128296
2025-11-30,Marketing,169346,119475,667281,400804,130982,115003,49871,15979
2025-12-31,Operations,117435,49457,733556,234633,161626,115259,67978,46367
2026-01-31,IT,106886,96557,548951,388998,159176,132235,10329,26941
2026-02-28,Finance,116803,107189,474329,426649,171278,89163,9614,82115
2026-03-31,HR,81551,139109,632315,204488,162409,45939,-57558,116470
2026-04-30,Marketing,166216,108953,716588,283323,63419,68925,57263,-5506
2026-05-31,IT,61394,82995,436584,384806,90015,62941,-21601,27074
2026-06-30,IT,119092,70757,762332,370536,162096,41834,48335,120262
2026-07-31,HR,53890,39692,576896,130535,147059,38047,14198,109012
2026-08-31,Marketing,91606,75758,248984,475713,150687,46105,15848,104582
2026-09-30,Finance,137313,102409,502918,414400,127939,95766,34904,32173
2026-10-31,Sales,191699,101211,464712,451279,145878,35707,90488,110171
2026-11-30,Marketing,58792,95697,320151,489622,102623,41976,-36905,60647
2026-12-31,HR,118148,67065,655808,397366,115450,64262,51083,51188
